Test_Time(s),Temperature (C)_1,Temperature (C)_2
32287.9839136253,-10.472054481506348,-10.714761734008787
32292.99143034698,-10.51811408996582,-10.668463706970217
32297.999066406148,-10.50392723083496,-10.746649742126465
32303.0066397169,-10.581868171691896,-10.87115478515625
32308.01420840813,-10.51811408996582,-10.746649742126465
32313.02177671441,-10.425995826721191,-10.636579513549805
32318.02934887028,-10.472054481506348,-10.714761734008787
32323.03697030097,-10.596059799194336,-10.636579513549805
32328.04449125722,-10.36225700378418,-10.700345993041992
32333.05207072732,-10.472054481506348,-10.682876586914062
32338.059670215327,-10.581868171691896,-10.636579513549805
32343.06733938102,-10.472054481506348,-10.636579513549805
32348.07478180549,-10.348073959350586,-10.761063575744627
32353.082355116247,-10.316208839416504,-10.714761734008787
32358.08993035179,-10.596059799194336,-10.856735229492188
32363.097459392186,-10.472054481506348,-10.778535842895508
32368.10502461878,-10.394126892089844,-10.668463706970217
32373.11259831449,-10.440180778503418,-10.714761734008787
32378.12036756969,-10.596059799194336,-10.792953491210938
32383.127789206348,-10.627942085266112,-10.682876586914062
32388.135357127663,-10.51811408996582,-10.714761734008787
32393.142948146557,-10.51811408996582,-10.839261054992676
32398.150552639032,-10.627942085266112,-10.792953491210938
32403.158036254183,-10.51811408996582,-10.729175567626951
32408.165788956125,-10.454362869262695,-10.729175567626951
